the	các
all	tất cả các
million	triệu
must	phải
home	nhà
under	Dưới
water	Nước
room	phòng
write	viết
mother	mẹ
area	khu vực
national	Quốc gia
money	tiền bạc
story	câu chuyện
young	trẻ
fact	thực tế
month	tháng
different	khác nhau
lot	nhiều
right	đúng
study	học
book	sách
eye	mắt
job	việc làm
word	từ
though	Tuy nhiên
business	kinh doanh
issue	vấn đề
side	bên
kind	loại
four	bốn
head	cái đầu
far	xa
black	đen
long	Dài
both	cả hai
little	ít
house	nhà ở
yes	Vâng
after	sau
since	kể từ
long	Dài
provide	cung cấp
service	dịch vụ
around	xung quanh
friend	người bạn
important	quan trọng
father	cha
sit	ngồi
away	xa
until	cho đến
power	quyền lực
hour	giờ
game	trò chơi
often	thường xuyên
yet	chưa
line	hàng
political	chính trị
end	kết thúc
among	trong số
ever	không bao giờ
stand	đứng
bad	xấu
lose	thua
however	Tuy nhiên
member	hội viên
pay	trả
law	pháp luật
meet	gặp
car	xe hơi
city	thành phố
almost	hầu hết
include	bao gồm
continue	tiếp tục
set	bộ
later	một lát sau
community	cộng đồng
much	nhiều
name	Tên
five	số năm
once	Một lần
white	trắng
least	ít nhất
president	chủ tịch
learn	học hỏi
real	thực
change	thay đổi
team	đội
minute	phút
best	tốt
several	một số
idea	ý kiến
kid	đứa trẻ
body	thân hình
information	thông tin
nothing	không có gì
ago	trước
right	đúng
lead	chì
social	xã hội
understand	hiểu không
whether	liệu
back	trở lại
watch	đồng hồ đeo tay
together	cùng với nhau
follow	theo
around	xung quanh
parent	cha mẹ
only	chỉ có
stop	dừng lại
face	đối mặt
anything	bất cứ điều gì
create	tạo nên
public	công cộng
already	đã
speak	nói
others	Khác
read	đọc
level	cấp độ
allow	cho phép
add	thêm vào
office	văn phòng
spend	tiêu
door	cửa
health	Sức khỏe
person	người
art	nghệ thuật
sure	chắc chắn rồi
such	như là
war	chiến tranh
history	lịch sử
party	buổi tiệc
within	bên trong
grow	lớn lên
result	kết quả
open	mở
change	thay đổi
morning	buổi sáng
walk	đi bộ
reason	lý do
low	thấp
win	thắng lợi
research	nghiên cứu
girl	con gái
guy	chàng
early	sớm
food	món ăn
before	trước
moment	chốc lát
himself	bản thân anh ấy
air	không khí
teacher	giáo viên
force	lực lượng
offer	phục vụ
enough	đủ
both	cả hai
education	giáo dục
across	băng qua
although	mặc dù
remember	nhớ lại
foot	chân
second	thứ hai
boy	con trai
maybe	có lẽ
toward	đối với
able	có thể
age	tuổi tác
off	tắt
policy	chính sách
everything	mọi điều
love	yêu
process	quá trình
music	Âm nhạc
including	kể cả
consider	xem xét
appear	xuất hiện
actually	thực ra
buy	mua
probably	có lẽ
human	Nhân loại
wait	chờ đợi
serve	phục vụ
market	thị trường
die	chết
send	gửi
expect	chờ đợi
home	nhà
sense	giác quan
build	xây dựng
stay	ở lại
fall	ngã
oh	Oh
nation	quốc gia
plan	kế hoạch
cut	cắt tỉa
college	trường đại học
interest	quan tâm
death	tử vong
course	khóa học
someone	người nào
experience	kinh nghiệm
behind	phía sau
reach	chạm tới
local	địa phương
kill	giết chết
six	sáu
remain	vẫn còn
effect	hiệu ứng
use	sử dụng
yeah	yeah
suggest	đề nghị
class	lớp học
control	điều khiển
raise	nâng cao
care	quan tâm
perhaps	có lẽ
little	ít
late	muộn
hard	cứng
field	cánh đồng
else	khác
pass	vượt qua
former	trước đây
sell	bán
major	chính
sometimes	đôi khi
require	yêu cầu
along	dọc theo
development	phát triển
themselves	bản thân họ
report	bài báo cáo
role	vai trò
better	tốt hơn
economic	thuộc kinh tế
effort	cố gắng
up	lên
decide	quyết định
rate	tỷ lệ
strong	mạnh
possible	khả thi
heart	tim
drug	thuốc uống
show	chỉ
leader	lãnh đạo
light	ánh sáng
voice	tiếng nói
wife	người vợ
whole	toàn thể
police	cảnh sát
mind	lí trí
finally	cuối cùng
pull	kéo
return	trở về
free	miễn phí
military	quân đội
price	giá bán
report	bài báo cáo
less	ít hơn
according	theo
decision	phán quyết
explain	giải thích
son	Con trai
hope	mong
even	cũng
develop	phát triển, xây dựng
view	lượt xem
relationship	mối quan hệ
carry	mang
town	thị trấn
road	đường
drive	lái xe
arm	cánh tay
TRUE	THẬT
federal	liên bang
break	phá vỡ
better	tốt hơn
difference	Sự khác biệt
thank	cảm tạ
receive	nhận được
value	giá trị
international	quốc tế
building	Tòa nhà
action	hoạt động
full	đầy
model	mô hình
join	tham gia
season	Mùa
society	xã hội
because	bởi vì
tax	Thuế
director	giám đốc
early	sớm
position	Chức vụ
player	người chơi
agree	đồng ý
especially	đặc biệt
record	ghi lại
pick	chọn
wear	mặc
paper	giấy
special	đặc biệt
space	không gian
ground	đất
form	hình thức
support	ủng hộ
event	biến cố
official	chính thức
whose	có
matter	vấn đề
everyone	tất cả mọi người
center	Trung tâm
couple	vợ chồng
site	địa điểm
end	kết thúc
project	dự án
hit	đánh
base	căn cứ
activity	Hoạt động
star	ngôi sao
table	bàn
need	nhu cầu
court	tòa án
produce	sản xuất
eat	ăn
American	Người Mỹ
teach	dạy
oil	dầu
half	một nửa
situation	tình hình
easy	dễ dàng
cost	Giá cả
industry	ngành công nghiệp
figure	nhân vật
face	đối mặt
street	đường phố
image	hình ảnh
itself	chinh no
phone	điện thoại
either	hoặc
data	dữ liệu
cover	che
quite	khá
picture	hình ảnh
clear	trong sáng
practice	thực hành
piece	cái
land	đất đai
recent	gần đây
describe	miêu tả
product	sản phẩm
doctor	Bác sĩ
wall	Tường
patient	bệnh nhân
worker	công nhân
news	Tin tức
test	thử nghiệm
movie	bộ phim
certain	chắc chắn
north	Bắc
love	yêu
personal	cá nhân
open	mở
support	ủng hộ
simply	đơn giản
third	thứ ba
technology	Công nghệ
catch	bắt lấy
step	bậc thang
baby	đứa bé
computer	máy vi tính
type	kiểu
attention	chú ý
draw	vẽ tranh
film	phim ảnh
Republican	Đảng Cộng hòa
tree	cây
source	nguồn
red	đỏ
nearly	Gần
organization	cơ quan
choose	chọn
cause	nguyên nhân
hair	tóc
look	nhìn
point	điểm
century	thế kỷ
evidence	chứng cớ
window	cửa sổ
difficult	khó khăn
listen	nghe
soon	Sớm
culture	nền văn hóa
billion	tỷ
chance	cơ hội
brother	em trai
energy	năng lượng
period	giai đoạn
course	khóa học
summer	mùa hè
less	ít hơn
realize	nhận ra
hundred	hàng trăm
available	có sẵn
plant	thực vật
likely	có khả năng
opportunity	cơ hội
term	kỳ hạn
short	ngắn
letter	lá thư
condition	điều kiện
choice	lựa chọn
place	địa điểm
single	Độc thân
rule	qui định
daughter	Con gái
administration	quản trị
south	miền Nam
husband	người chồng
Congress	Hội nghị
floor	sàn nhà
campaign	chiến dịch
material	vật chất
population	dân số
well	tốt
call	gọi
economy	nên kinh tê
medical	Y khoa
hospital	bệnh viện
church	nhà thờ
close	gần
thousand	nghìn
risk	rủi ro
current	hiện hành
fire	ngọn lửa
future	Tương lai
wrong	sai rồi
involve	liên quan
defense	phòng thủ
anyone	bất kỳ ai
increase	tăng
security	Bảo vệ
bank	ngân hàng
myself	riêng tôi
certainly	chắc chắn
west	hướng Tây
sport	môn thể thao
board	bảng
seek	tìm kiếm
per	mỗi
subject	môn học
officer	nhân viên văn phòng
private	riêng tư
rest	nghỉ ngơi
behavior	hành vi
deal	thỏa thuận
performance	hiệu suất
fight	chiến đấu
throw	ném
top	hàng đầu
quickly	Mau
past	quá khứ
goal	mục tiêu
second	thứ hai
bed	Giường
order	gọi món
author	tác giả
fill	lấp đầy
represent	đại diện
focus	tiêu điểm
foreign	ngoại quốc
drop	rơi vãi
plan	kế hoạch
blood	máu
upon	trên
agency	đại lý
push	đẩy
nature	thiên nhiên
color	màu
no	Không
recently	gần đây
store	cửa hàng
reduce	giảm
sound	âm thanh
note	chú thích
fine	khỏe
before	trước
near	ở gần
movement	phong trào
page	trang
enter	đi vào
share	chia sẻ
than	hơn
common	chung
poor	nghèo nàn
other	khác
natural	tự nhiên
race	cuộc đua
concern	mối quan ngại
series	loạt
significant	có ý nghĩa
similar	giống
hot	nóng bức
language	ngôn ngữ
each	mỗi
usually	thông thường
response	phản ứng
dead	đã chết
rise	tăng lên
animal	thú vật
factor	hệ số
decade	thập kỷ
article	bài báo
shoot	bắn
east	Đông
save	tiết kiệm
seven	bảy
artist	họa sĩ
away	xa
scene	bối cảnh
stock	cổ phần
career	nghề nghiệp
despite	mặc dù
central	Trung tâm
eight	tám
thus	do đó
treatment	điều trị
beyond	vượt ra ngoài
happy	vui mừng
exactly	chính xác
protect	bảo vệ
approach	tiếp cận
lie	nói dối
size	kích thước
dog	chó
fund	quỹ
serious	nghiêm trọng
occur	xảy ra
media	phương tiện truyền thông
ready	sẳn sàng
sign	ký tên
thought	nghĩ
list	danh sách
individual	cá nhân
simple	đơn giản
quality	phẩm chất
pressure	sức ép
accept	Chấp nhận
answer	câu trả lời
hard	cứng
resource	tài nguyên
identify	nhận định
left	trái
meeting	gặp gỡ
determine	mục đích
prepare	chuẩn bị
disease	dịch bệnh
whatever	bất cứ điều gì
success	sự thành công
argue	tranh luận
cup	tách
particularly	đặc biệt
amount	số lượng
ability	có khả năng
staff	cán bộ
recognize	nhìn nhận
indicate	biểu thị
character	tính cách
growth	sự phát triển
loss	mất mát
degree	trình độ
wonder	ngạc nhiên
attack	tấn công
herself	cô ấy
region	khu vực
television	tivi
box	cái hộp
TV	TV
training	đào tạo
pretty	đẹp
trade	buôn bán
deal	thỏa thuận
election	cuộc bầu cử
everybody	mọi người
physical	vật lý
lay	đặt nằm
general	chung
feeling	cảm giác
standard	Tiêu chuẩn
bill	hóa đơn
message	thông điệp
fail	Thất bại
outside	ở ngoài
arrive	đến nơi
analysis	phân tích
benefit	lợi ích
name	Tên
sex	tình dục
forward	phía trước
lawyer	luật sư
present	hiện tại
section	phần
environmental	môi trường
glass	ly
answer	câu trả lời
skill	kỹ năng
sister	em gái
PM	PM
professor	Giáo sư
operation	hoạt động
financial	tài chính
crime	tội ác
stage	sân khấu
ok	được
compare	so sánh
authority	thẩm quyền
miss	bỏ lỡ
design	thiết kế
sort	sắp xếp
one	một
act	hành động
ten	mười
knowledge	hiểu biết
gun	súng
station	ga tàu
blue	màu xanh da trời
state	tiểu bang
strategy	chiến lược
little	ít
clearly	thông suốt
discuss	bàn luận
indeed	thật
force	lực lượng
truth	sự thật
song	bài hát
example	thí dụ
democratic	dân chủ
check	kiểm tra
environment	môi trường
leg	Chân
dark	tối
public	công cộng
various	nhiều
rather	hơn
laugh	cười
guess	phỏng đoán
executive	điều hành
set	bộ
study	học
prove	chứng minh
hang	treo
entire	toàn bộ
rock	đá
design	thiết kế
enough	đủ
forget	quên
since	kể từ
claim	yêu cầu
note	chú thích
remove	tẩy
manager	giám đốc
help	Cứu giúp
close	gần
sound	âm thanh
enjoy	thưởng thức
network	mạng
legal	hợp pháp
religious	Tôn giáo
cold	lạnh
form	hình thức
final	sau cùng
main	chủ yếu
science	khoa học
green	màu xanh lá
memory	ký ức
card	Thẻ
above	ở trên
seat	ghế
cell	tế bào
establish	thành lập
nice	tốt đẹp
trial	thử nghiệm
expert	chuyên gia
that	cái đó
spring	mùa xuân
firm	chắc chắn
Democrat	Dân chủ
radio	radio
visit	chuyến thăm
management	sự quản lý
care	quan tâm
avoid	tránh
imagine	tưởng tượng
tonight	tối nay
huge	khổng lồ
ball	trái bóng
no	Không
close	gần
finish	hoàn thành
yourself	bản thân bạn
talk	nói chuyện
theory	lý thuyết
impact	va chạm
respond	trả lời
statement	tuyên bố
maintain	duy trì
charge	sạc điện
popular	phổ biến
traditional	truyên thông
onto	trên
reveal	tiết lộ
direction	phương hướng
weapon	vũ khí
employee	Nhân viên
cultural	văn hoá
contain	chứa
peace	hòa bình
head	cái đầu
control	điều khiển
base	căn cứ
pain	đau đớn
apply	ứng dụng
play	chơi
measure	đo
wide	rộng
shake	lắc
fly	bay
interview	phỏng vấn
manage	quản lý
chair	cái ghế
fish	cá
particular	cụ thể
camera	Máy ảnh
structure	kết cấu
politics	chính trị
perform	biểu diễn
bit	bit
weight	cân nặng
suddenly	đột ngột
discover	khám phá
candidate	ứng viên
top	hàng đầu
production	sản xuất
treat	đãi
trip	chuyến đi
evening	tối
affect	có ảnh hưởng đến
inside	phía trong
conference	hội nghị
unit	đơn vị
best	tốt
style	Phong cách
adult	người lớn
worry	lo
range	phạm vi
mention	đề cập đến
rather	hơn
far	xa
deep	sâu
past	quá khứ
edge	cạnh
individual	cá nhân
specific	riêng
writer	nhà văn
trouble	rắc rối
necessary	cần thiết
throughout	khắp
challenge	thử thách
fear	nỗi sợ
shoulder	vai
institution	tổ chức
middle	ở giữa
sea	biển
dream	mơ tưởng
bar	quán ba
beautiful	đẹp
property	bất động sản
instead	thay thế
improve	cải tiến
stuff	đồ đạc
detail	chi tiết
method	phương pháp
sign	ký tên
somebody	có ai
magazine	tạp chí
hotel	khách sạn
soldier	lính
reflect	phản chiếu
heavy	nặng
sexual	tình dục
cause	nguyên nhân
bag	túi
heat	nhiệt
fall	ngã
marriage	kết hôn
tough	khó khăn
sing	hát
surface	bề mặt
purpose	mục đích
exist	hiện hữu
pattern	mẫu
whom	ai
skin	da
agent	đặc vụ
owner	chủ nhân
machine	máy móc
gas	khí đốt
down	xuống
ahead	phía trước
generation	thế hệ
commercial	thương mại
address	địa chỉ nhà
cancer	ung thư
test	thử nghiệm
item	mục
reality	thực tế
coach	huấn luyện viên
step	bậc thang
Mrs	Bà
yard	sân
beat	tiết tấu
violence	bạo lực
total	toàn bộ
tend	có xu hướng
investment	đầu tư
discussion	thảo luận
finger	ngón tay
garden	vườn
notice	để ý
collection	bộ sưu tập
modern	hiện đại
task	bài tập
partner	cộng sự
positive	tích cực
civil	dân sự
kitchen	phòng bếp
consumer	khách hàng
shot	bắn
budget	ngân sách
wish	muốn
painting	bức vẽ
scientist	nhà khoa học
safe	an toàn
agreement	thỏa thuận
capital	thủ đô
mouth	miệng
nor	cũng không
victim	nạn nhân
newspaper	báo chí
instead	thay thế
threat	mối đe dọa
responsibility	trách nhiệm
smile	nụ cười
attorney	luật sư
score	ghi bàn
account	tài khoản
interesting	hấp dẫn
break	phá vỡ
audience	thính giả
rich	giàu có
dinner	bữa tối
figure	nhân vật
vote	bỏ phiếu
western	miền Tây
relate	liên hệ
travel	du lịch
debate	tranh luận
prevent	ngăn chặn
citizen	công dân
majority	đa số
none	không ai
front	trước mặt
born	sinh ra
admit	thừa nhận
senior	cao cấp
assume	giả định
wind	gió
key	Chìa khóa
professional	chuyên nghiệp
mission	sứ mệnh
fast	Nhanh
alone	một mình
customer	khách hàng
suffer	đau khổ
speech	phát biểu
successful	thành công
option	Tùy chọn
participant	người tham gia
southern	phía Nam
fresh	tươi
eventually	cuối cùng
no	Không
forest	rừng
video	video
global	toàn cầu
Senate	Thượng nghị viện
reform	cải cách
access	truy cập
restaurant	nhà hàng
judge	thẩm phán
publish	công bố
cost	Giá cả
relation	quan hệ
like	như
release	giải phóng
own	sở hữu
bird	chim
opinion	quan điểm
credit	tín dụng
critical	chỉ trích
corner	góc
concerned	liên quan
recall	hồi tưởng
version	phiên bản
stare	nhìn chằm chằm
safety	an toàn
effective	có hiệu lực
neighborhood	khu vực lân cận
original	nguyên
act	hành động
troop (PL)	quân (PL)
income	thu nhập
directly	trực tiếp
hurt	đau
species	loài
immediately	ngay
track	theo dõi
basic	căn bản
strike	đình công
hope	mong
sky	bầu trời
freedom	sự tự do
absolutely	chắc chắn rồi
plane	máy bay
nobody	không ai
achieve	Hoàn thành
object	vật
attitude	Thái độ
labor	lao động
refer	tham khảo
concept	khái niệm
client	khách hàng
powerful	quyền lực
perfect	hoàn hảo
nine	chín
therefore	vì thế
conduct	hạnh kiểm
announce	tuyên bố
conversation	cuộc hội thoại
examine	xem xét
touch	chạm
please	xin vui lòng
attend	tham gia
completely	hoàn toàn
vote	bỏ phiếu
variety	đa dạng
sleep	ngủ
turn	xoay
involved	có tính liên quan
investigation	cuộc điều tra
nuclear	Nguyên tử
researcher	nghiên cứu viên
press	nhấn
conflict	cuộc xung đột
spirit	tinh thần
experience	kinh nghiệm
replace	thay thế
British	người Anh
encourage	khuyến khích
argument	tranh luận
by	bởi
once	Một lần
camp	trại
brain	óc
feature	đặc tính
afternoon	buổi chiều
AM	LÀ
weekend	ngày cuối tuần
dozen	tá
possibility	khả năng
along	dọc theo
insurance	bảo hiểm
department	bộ phận
battle	chiến đấu
beginning	bắt đầu
date	ngày
generally	nói chung là
African	Châu Phi
very	rất
sorry	lấy làm tiếc
crisis	khủng hoảng
complete	hoàn thành
fan	quạt
stick	gậy
define	định nghĩa
easily	dễ dàng
through	xuyên qua
hole	lỗ
element	thành phần
vision	tầm nhìn
status	trạng thái
normal	bình thường
Chinese	Trung Quốc
ship	tàu
solution	dung dịch
stone	Cục đá
slowly	chậm rãi
scale	tỉ lệ
bit	bit
university	trường đại học
introduce	giới thiệu
driver	người lái xe
attempt	cố gắng
park	công viên
spot	nơi
lack	thiếu sót
ice	Nước đá
boat	thuyền
drink	uống
sun	mặt trời
front	trước mặt
distance	khoảng cách
wood	gỗ
handle	xử lý
truck	xe tải
return	trở về
mountain	núi
survey	khảo sát
supposed	giả định
tradition	truyền thống
winter	mùa đông
village	làng
Soviet	Liên Xô
refuse	từ chối
sales	bán hàng
roll	cuộn
communication	giao tiếp
run	chạy
screen	màn
gain	thu được
resident	cư dân
hide	ẩn giấu
gold	vàng
club	câu lạc bộ
future	Tương lai
farm	nông trại
potential	tiềm năng
increase	tăng
middle	ở giữa
European	Châu Âu
presence	sự hiện diện
independent	độc lập
district	huyện
shape	hình dạng
reader	người đọc
Ms	Cô
contract	hợp đồng
crowd	đám đông
Christian	Christian
express	bày tỏ
apartment	căn hộ, chung cư
willing	sẵn lòng
strength	sức mạnh
previous	Trước
band	ban nhạc
obviously	chắc chắn
horse	con ngựa
interested	quan tâm
target	Mục tiêu
prison	nhà tù
ride	dap xe
guard	bảo vệ
terms	điều kiện
demand	nhu cầu
reporter	phóng viên
deliver	giao hàng
text	bản văn
share	chia sẻ
tool	dụng cụ
wild	hoang dã
vehicle	phương tiện
observe	quan sát
flight	chuyến bay
inside	phía trong
facility	cơ sở
understanding	hiểu biết
average	Trung bình cộng
emerge	hiện ra
advantage	lợi thế
quick	nhanh chóng
light	ánh sáng
leadership	khả năng lãnh đạo
earn	kiếm
pound	pao
basis	nền tảng
bright	sáng
operate	vận hành
guest	khách
sample	mẫu vật
contribute	Góp phần
tiny	nhỏ bé
block	khối
protection	sự bảo vệ
settle	ổn định
feed	nuôi
collect	sưu tầm
additional	bổ sung
while	trong khi
highly	cao
identity	danh tính
title	chức vụ
mostly	chủ yếu
lesson	bài học
faith	đức tin
river	con sông
promote	Quảng bá
living	sống
present	hiện tại
count	đếm
unless	trừ khi
marry	kết hôn
tomorrow	Ngày mai
technique	kỹ thuật
path	con đường
ear	tai
shop	cửa tiệm
folk	dân gian
order	gọi món
principle	nguyên tắc
survive	tồn tại
lift	thang máy
border	biên giới
competition	cuộc thi
jump	nhảy
gather	tụ họp
limit	giới hạn
fit	Phù hợp
claim	yêu cầu
cry	khóc
equipment	Trang thiết bị
worth	giá trị
associate	liên kết
critic	nhà phê bình
warm	ấm áp
aspect	khía cạnh
result	kết quả
insist	năn nỉ
failure	thất bại
annual	hàng năm
French	người Pháp
Christmas	Giáng Sinh
comment	bình luận
responsible	chịu trách nhiệm
affair	chuyện
approach	tiếp cận
until	cho đến
procedure	thủ tục
regular	đều đặn
spread	Lan tràn
chairman	Chủ tịch
baseball	bóng chày
soft	mềm mại
ignore	bỏ qua
egg	trứng
measure	đo
belief	niềm tin
demonstrate	chứng minh
anybody	bất kỳ ai
murder	giết người
gift	quà tặng
religion	tôn giáo
review	ôn tập
editor	người biên tập
past	quá khứ
engage	thuê
coffee	cà phê
document	tài liệu
speed	tốc độ
cross	vượt qua
influence	ảnh hưởng
anyway	dù sao
threaten	hăm dọa
commit	cam kết
female	giống cái
youth	thiếu niên
wave	làn sóng
move	di chuyển
afraid	sợ
quarter	phần tư
background	lý lịch
native	tự nhiên
broad	rộng lớn
wonderful	Tuyệt vời
deny	phủ nhận
apparently	dường như
slightly	khinh bỉ
reaction	phản ứng
twice	hai lần
suit	bộ đồ
perspective	quan điểm
growing	phát triển
blow	thổi
construction	xây dựng
kind	loại
intelligence	Sự thông minh
destroy	hủy hoại
cook	nấu ăn
connection	kết nối
charge	sạc điện
burn	đốt cháy
shoe	giày
view	lượt xem
grade	cấp
context	bối cảnh
committee	ủy ban
hey	Chào
mistake	sai lầm
focus	tiêu điểm
smile	nụ cười
location	vị trí
clothes	quần áo
Indian	người Ấn Độ
quiet	Yên tĩnh
dress	trang phục
promise	lời hứa
aware	ý thức
neighbor	hàng xóm
complete	hoàn thành
drive	lái xe
function	chức năng
bone	khúc xương
active	đang hoạt động
extend	mở rộng
chief	giám đốc
average	Trung bình cộng
combine	phối hợp
wine	rượu nho
below	phía dưới
cool	mát mẻ
voter	cử tri
means (PL)	nghĩa là (PL)
demand	nhu cầu
learning	học tập
bus	xe buýt
hell	Địa ngục
dangerous	nguy hiểm
remind	nhắc lại
moral	đạo đức
United	United
category	thể loại
relatively	tương đối
victory	chiến thắng
key	Chìa khóa
academic	học tập
visit	chuyến thăm
Internet	Internet
healthy	khỏe mạnh
fire	ngọn lửa
negative	tiêu cực
following	tiếp theo
historical	lịch sử
medicine	dược phẩm
tour	chuyến du lịch
depend	tùy theo
photo	hình chụp
finding	Phát hiện
grab	vồ lấy
direct	thẳng thắn
classroom	phòng học
contact	tiếp xúc
justice	Sự công bằng
participate	tham dự
daily	hằng ngày
fair	hội chợ
pair	đôi
famous	nổi danh
exercise	tập thể dục
knee	đầu gối
flower	hoa
tape	băng
hire	thuê mướn
familiar	quen
appropriate	thích hợp
supply	cung cấp
fully	đầy đủ
cut	cắt tỉa
will	sẽ
actor	diễn viên
birth	Sinh
search	Tìm kiếm
tie	cà vạt
democracy	dân chủ
eastern	phương Đông
primary	sơ cấp
yesterday	hôm qua
circle	vòng tròn
device	thiết bị
progress	tiến độ
next	kế tiếp
front	trước mặt
bottom	đáy
island	Đảo
exchange	trao đổi, giao dịch
clean	dọn dẹp
studio	studio
train	xe lửa
lady	quý bà
colleague	đồng nghiệp
application	ứng dụng
neck	cái cổ
lean	nạc
damage	hư hại
plastic	nhựa
tall	cao
plate	đĩa
hate	ghét bỏ
otherwise	nếu không thì
writing	viết
press	nhấn
male	Nam giới
start	khởi đầu
alive	sống sót
expression	biểu hiện
football	bóng đá
intend	dự định
attack	tấn công
chicken	gà
army	quân đội
abuse	lạm dụng
theater	rạp hát
shut	đóng lại
map	bản đồ
extra	thêm
session	phiên họp
danger	nguy hiểm
welcome	chào mừng
domestic	trong nước
lots	rất nhiều
literature	văn chương
rain	mưa
desire	khao khát
assessment	thẩm định, lượng định, đánh giá
injury	chấn thương
respect	sự tôn trọng
northern	Phương bắc
nod	gật đầu
paint	Sơn
fuel	nhiên liệu
leaf	lá
direct	thẳng thắn
dry	khô
Russian	Người Nga
instruction	chỉ dẫn
fight	chiến đấu
pool	bơi
climb	leo
sweet	ngọt
lead	chì
engine	động cơ
fourth	thứ tư
salt	Muối
expand	mở rộng
importance	tầm quan trọng
metal	kim loại
fat	mập
ticket	vé
software	phần mềm
disappear	biến mất
corporate	công ty
strange	kỳ lạ
lip	môi
reading	đọc hiểu
urban	đô thị
mental	tâm thần
increasingly	ngày càng
lunch	Bữa trưa
educational	giáo dục
somewhere	một vài nơi
farmer	nông phu
above	ở trên
sugar	đường
planet	hành tinh
favorite	yêu thích
explore	khám phá
obtain	đạt được
enemy	kẻ thù
greatest	vĩ đại nhất
complex	phức tạp
surround	vây quanh
athlete	lực sĩ
invite	mời gọi
repeat	nói lại
carefully	cẩn thận
soul	Linh hồn
scientific	thuộc về khoa học
impossible	Không thể nào
panel	bảng điều khiển
meaning	Ý nghĩa
mom	mẹ
married	cưới nhau
alone	một mình
instrument	dụng cụ
predict	tiên đoán
weather	thời tiết
presidential	tổng thống
emotional	đa cảm
commitment	cam kết
Supreme	Tối cao
bear	chịu
pocket	bỏ túi
thin	gầy
temperature	nhiệt độ
surprise	sự ngạc nhiên
poll	thăm dò ý kiến
proposal	đề nghị
consequence	hậu quả
half	một nửa
breath	hơi thở
sight	thị giác
cover	che
balance	cân đối
adopt	thông qua
minority	thiểu số
straight	thẳng
attempt	cố gắng
connect	kết nối
works	công trinh
teaching	giảng bài
belong	thuộc về
aid	viện trợ
advice	khuyên bảo
okay	đuợc
photograph	ảnh chụp
empty	trống
regional	khu vực
trail	đường mòn
novel	cuốn tiểu thuyết
code	mã
somehow	bằng cách nào đó
organize	tổ chức
jury	ban bồi thẩm
breast	nhũ hoa
Iraqi	Iraqi
human	Nhân loại
acknowledge	công nhận
theme	chủ đề
